平均值,出现次数,所占百分比,
2.0,3,0.066740826%
13.333333333333334,108,2.4026697%
12.333333333333334,102,2.269188%
15.333333333333334,112,2.4916575%
14.333333333333334,112,2.4916575%
3.0,7,0.1557286%
9.333333333333334,65,1.4460511%
8.333333333333334,52,1.1568409%
11.333333333333334,92,2.0467186%
10.333333333333334,80,1.7797552%
4.0,12,0.2669633%
27.666666666666668,4,0.08898776%
26.666666666666668,8,0.17797552%
25.666666666666668,14,0.3114572%
24.666666666666668,21,0.46718577%
5.0,19,0.42269188%
28.666666666666668,1,0.02224694%
6.0,27,0.6006674%
19.666666666666668,80,1.7797552%
18.666666666666668,92,2.0467186%
17.666666666666668,102,2.269188%
16.666666666666668,108,2.4026697%
7.0,37,0.8231368%
23.666666666666668,30,0.6674082%
22.666666666666668,40,0.8898776%
21.666666666666668,52,1.1568409%
20.666666666666668,65,1.4460511%
1.3333333333333333,1,0.02224694%
8.0,48,1.0678532%
3.3333333333333335,8,0.17797552%
9.0,61,1.3570634%
10.0,75,1.6685207%
11.0,89,1.9799778%
12.0,99,2.2024472%
2.3333333333333335,4,0.08898776%
13.0,107,2.3804226%
14.0,111,2.4694104%
15.0,113,2.5139043%
16.0,111,2.4694104%
6.666666666666667,33,0.73414904%
17.0,107,2.3804226%
18.0,99,2.2024472%
19.0,89,1.9799778%
20.0,75,1.6685207%
7.666666666666667,44,0.9788654%
21.0,61,1.3570634%
22.0,48,1.0678532%
23.0,37,0.8231368%
24.0,27,0.6006674%
4.666666666666667,16,0.35595104%
25.0,19,0.42269188%
26.0,12,0.2669633%
27.0,7,0.1557286%
28.0,3,0.066740826%
5.666666666666667,24,0.5339266%
29.0,1,0.02224694%
5.333333333333333,21,0.46718577%
4.333333333333333,14,0.3114572%
7.333333333333333,40,0.8898776%
6.333333333333333,30,0.6674082%
2.6666666666666665,5,0.1112347%
1.6666666666666667,2,0.04449388%
3.6666666666666665,10,0.2224694%
21.333333333333332,56,1.2458287%
20.333333333333332,70,1.5572859%
23.333333333333332,33,0.73414904%
22.333333333333332,44,0.9788654%
17.333333333333332,104,2.3136818%
16.333333333333332,110,2.4471636%
19.333333333333332,84,1.8687431%
18.333333333333332,96,2.1357064%
28.333333333333332,2,0.04449388%
25.333333333333332,16,0.35595104%
24.333333333333332,24,0.5339266%
27.333333333333332,5,0.1112347%
26.333333333333332,10,0.2224694%
1.0,1,0.02224694%
10.666666666666666,84,1.8687431%
11.666666666666666,96,2.1357064%
8.666666666666666,56,1.2458287%
9.666666666666666,70,1.5572859%
14.666666666666666,112,2.4916575%
15.666666666666666,112,2.4916575%
12.666666666666666,104,2.3136818%
13.666666666666666,110,2.4471636%
